FNN input,top-1,top-3,precision,F-1 score
hybrid 4000,49.7,73.0,51.6,49.3
struct 4000,46.7,70.5,49.7,46.2
DFT 4000,36.1,58.7,39.0,35.4
hybrid 2400,47.9,72.2,50.7,47.4
struct 2400,44.2,68.5,48.7,43.6
DFT 2400,34.3,56.8,37.4,33.6
hybrid 2000,48.1,72.5,50.6,47.5
struct 2000,43.6,68.1,48.1,42.8
DFT 2000,34.6,57.7,37.7,33.8
hybrid 1200,40.1,64.9,46.2,39.2
struct 1200,39.7,64.7,45.9,38.7
DFT 1200,31.4,54.8,35.7,30.2
hybrid 1000,38.9,63.6,45.8,37.8
struct 1000,39.9,64.6,46.0,38.8
DFT 1000,30.5,52.8,35.5,29.1
