,f1-score,precision,recall,total_samples
C#N,0.246 ± 0.295,0.230 ± 0.283,0.267 ± 0.314,18.0
C(=NC1CCCCC1)=NC1CCCCC1,0.508 ± 0.034,0.462 ± 0.037,0.568 ± 0.062,822.0
C1CC1,0.155 ± 0.185,0.140 ± 0.179,0.200 ± 0.260,21.0
C1CCC2=NCCCN2CC1,0.599 ± 0.030,0.534 ± 0.019,0.682 ± 0.053,688.0
C1CCCCC1,0.221 ± 0.131,0.233 ± 0.142,0.214 ± 0.131,108.0
C1CCNC1,0.670 ± 0.078,0.686 ± 0.118,0.660 ± 0.068,150.0
C1CCNCC1,0.636 ± 0.066,0.576 ± 0.086,0.715 ± 0.076,480.0
C1CN2CCN1CC2,0.631 ± 0.089,0.616 ± 0.128,0.653 ± 0.086,274.0
C1CN=C2NCCCN2C1,0.493 ± 0.376,0.480 ± 0.451,0.550 ± 0.384,17.0
C1CNCCN1,0.277 ± 0.118,0.278 ± 0.140,0.286 ± 0.125,35.0
C1CO1,0.471 ± 0.127,0.483 ± 0.167,0.500 ± 0.207,30.0
C1COCCN1,0.519 ± 0.157,0.516 ± 0.164,0.530 ± 0.187,74.0
C1N2CN3CN1CN(C2)C3,0.745 ± 0.127,0.719 ± 0.265,0.829 ± 0.148,34.0
C=C,0.339 ± 0.214,0.437 ± 0.256,0.281 ± 0.185,33.0
C=C(C)C,0.262 ± 0.208,0.207 ± 0.155,0.383 ± 0.355,17.0
C=C(C)C=O,0.773 ± 0.074,0.867 ± 0.227,0.767 ± 0.278,18.0
C=CC#N,0.384 ± 0.100,0.517 ± 0.361,0.333 ± 0.000,15.0
C=CC(=O)O,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,16.0
C=CC(=O)OC,0.601 ± 0.250,0.647 ± 0.407,0.600 ± 0.185,15.0
C=CC=O,0.654 ± 0.224,0.723 ± 0.271,0.610 ± 0.208,23.0
C=CCOC(=O)c1c(C)cccc1[N+](=O)[O-],0.914 ± 0.097,0.850 ± 0.170,1.000 ± 0.000,16.0
C=O,0.521 ± 0.068,0.492 ± 0.086,0.555 ± 0.052,324.0
C=[N+]=[N-],0.218 ± 0.239,0.251 ± 0.247,0.200 ± 0.232,50.0
CC(=O)CC(C)C,0.400 ± 0.235,0.553 ± 0.374,0.367 ± 0.270,30.0
CC(=O)Cl,0.265 ± 0.053,0.255 ± 0.042,0.281 ± 0.087,143.0
CC(=O)N(C)C,0.378 ± 0.053,0.378 ± 0.080,0.382 ± 0.043,144.0
CC(=O)N[C@@H](CSC(=O)C(C)C)C(=O)NCCSC(C)=O,0.898 ± 0.073,0.870 ± 0.150,0.950 ± 0.139,19.0
CC(=O)OC(C)=O,0.590 ± 0.051,0.535 ± 0.085,0.663 ± 0.026,581.0
CC(=O)Oc1c(C)c(C)c2c(c1C)CCC(C)(C(=S)Nc1ccccc1)O2,0.964 ± 0.062,0.933 ± 0.113,1.000 ± 0.000,24.0
