RF input,top-1,top-3,precision,F-1 score
hybrid 4000,31.5,52.8,51.5,26.0
struct 4000,33.1,52.7,51.0,28.1
DFT 4000,25.8,47.4,47.8,18.8
hybrid 2400,31.4,52.8,51.5,26.0
struct 2400,33.2,52.9,51.3,28.2
DFT 2400,25.6,47.3,47.6,18.6
hybrid 2000,31.4,53.1,51.4,26.0
struct 2000,33.0,52.7,51.0,28.0
DFT 2000,25.5,47.3,48.1,18.3
hybrid 1200,31.1,52.9,51.2,25.7
struct 1200,32.9,52.8,50.9,27.9
DFT 1200,25.4,47.1,48.2,18.2
hybrid 1000,31.3,52.2,51.1,25.7
struct 1000,32.8,52.6,51.3,27.8
DFT 1000,25.4,47.3,47.7,18.2
