,precision,recall,f1-score,support
C#N,0.0,0.0,0.0,3.0
C(=NC1CCCCC1)=NC1CCCCC1,0.875,0.12804878048780488,0.22340425531914895,164.0
C1CC1,0.0,0.0,0.0,4.0
C1CCC2=NCCCN2CC1,0.8333333333333334,0.21739130434782608,0.3448275862068966,138.0
C1CCCCC1,0.0,0.0,0.0,21.0
C1CCNC1,0.0,0.0,0.0,30.0
C1CCNCC1,0.9230769230769231,0.25,0.39344262295081966,96.0
C1CN2CCN1CC2,1.0,0.10909090909090909,0.19672131147540983,55.0
C1CN=C2NCCCN2C1,0.0,0.0,0.0,3.0
C1CNCCN1,0.0,0.0,0.0,7.0
C1CO1,0.0,0.0,0.0,6.0
C1COCCN1,0.0,0.0,0.0,14.0
C1N2CN3CN1CN(C2)C3,0.0,0.0,0.0,7.0
C=C,0.0,0.0,0.0,7.0
C=C(C)C,0.0,0.0,0.0,3.0
C=C(C)C=O,1.0,0.3333333333333333,0.5,3.0
C=CC#N,0.0,0.0,0.0,3.0
C=CC(=O)O,0.0,0.0,0.0,3.0
C=CC(=O)OC,0.0,0.0,0.0,3.0
C=CC=O,1.0,0.2,0.33333333333333337,5.0
C=CCOC(=O)c1c(C)cccc1[N+](=O)[O-],0.0,0.0,0.0,3.0
C=O,1.0,0.06153846153846154,0.11594202898550725,65.0
C=[N+]=[N-],0.0,0.0,0.0,10.0
CC(=O)CC(C)C,0.0,0.0,0.0,6.0
CC(=O)Cl,1.0,0.034482758620689655,0.06666666666666667,29.0
CC(=O)N(C)C,0.0,0.0,0.0,29.0
CC(=O)N[C@@H](CSC(=O)C(C)C)C(=O)NCCSC(C)=O,1.0,0.75,0.8571428571428571,4.0
CC(=O)OC(C)=O,0.7333333333333333,0.09482758620689655,0.16793893129770993,116.0
CC(=O)Oc1c(C)c(C)c2c(c1C)CCC(C)(C(=S)Nc1ccccc1)O2,1.0,0.6,0.7499999999999999,5.0
CC(C)(C#N)N=NC(C)(C)C#N,0.0,0.0,0.0,14.0
CC(C)(C)C(=O)Cl,0.0,0.0,0.0,4.0
CC(C)(C)OC(=O)N=NC(=O)OC(C)(C)C,0.0,0.0,0.0,3.0
CC(C)(C)OC(=O)N[C@@H]1CCN(Cc2ccc(C(=O)O)cc2C(F)(F)F)C1,0.0,0.0,0.0,5.0
CC(C)(C)OC(=O)N[C@H](COc1ccc(F)cc1F)C(=O)O,1.0,0.5,0.6666666666666666,6.0
CC(C)(C)OC(=O)O/N=C(\C#N)c1ccccc1,0.0,0.0,0.0,3.0
CC(C)(C)OC(=O)OC(=O)OC(C)(C)C,0.3333333333333333,0.043478260869565216,0.07692307692307691,23.0
CC(C)(C)OC(=O)ON=C(C#N)c1ccccc1,0.0,0.0,0.0,5.0
CC(C)(C)OC(N)=O,1.0,0.2,0.33333333333333337,5.0
CC(C)(C)OCl,0.0,0.0,0.0,12.0
CC(C)(C)ON=O,0.0,0.0,0.0,8.0
CC(C)(C)OO,0.0,0.0,0.0,7.0
CC(C)(C)c1nc(N2CCOCC2)c2nnn(Cc3ccccc3Cl)c2n1,1.0,0.9285714285714286,0.962962962962963,14.0
CC(C)(O)C#N,0.0,0.0,0.0,3.0
CC(C)=C(Cl)N(C)C,0.0,0.0,0.0,4.0
CC(C)=C(Cl)N(C)Cc1ccc(C)cc1,0.0,0.0,0.0,4.0
CC(C)CCON=O,0.0,0.0,0.0,5.0
CC(C)CO,0.0,0.0,0.0,3.0
CC(C)COC(=O)Cl,0.0,0.0,0.0,14.0
CC(C)N,0.0,0.0,0.0,7.0
CC(C)N=C=NC(C)C,0.0,0.0,0.0,12.0
CC(C)NC(C)C,0.0,0.0,0.0,11.0
CC(C)OC(=O)/N=N/C(=O)OC(C)C,0.0,0.0,0.0,9.0
CC(C)OC(=O)N=NC(=O)OC(C)C,0.0,0.0,0.0,3.0
CC(C)OC(C)C,0.0,0.0,0.0,26.0
CC(Cl)Cl,0.0,0.0,0.0,9.0
CC(Cl)OC(=O)Cl,1.0,0.05263157894736842,0.1,19.0
CC1(C)C(=O)N(Cl)C(=O)N1Cl,0.0,0.0,0.0,4.0
CC1(C)C2CCC1(CS(=O)(=O)O)C(=O)C2,0.0,0.0,0.0,21.0
CC1CCCO1,0.0,0.0,0.0,4.0
CC1CN(c2ncnc3c(S(=O)(=O)c4ccccc4)c(N)[nH]c23)CCO1,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
CC1Cn2c(cc(OCc3ccc(Oc4cc(F)cc(C(F)(F)F)c4)c(C#N)c3)nc2=O)N1C,0.6666666666666666,0.5714285714285714,0.6153846153846153,7.0
CC=O,0.0,0.0,0.0,4.0
CCC(=O)O,0.0,0.0,0.0,5.0
CCC(C)(C)C(=O)N1CC1c1ccccc1,0.0,0.0,0.0,4.0
CCC=O,0.0,0.0,0.0,6.0
CCCCC,1.0,0.23076923076923078,0.375,13.0
CCCCCCC,0.875,0.11290322580645161,0.19999999999999998,62.0
CCCCN,0.0,0.0,0.0,7.0
CCCCN(CCCC)CCCC,0.0,0.0,0.0,4.0
CCCCN1C(=O)C(O)(CC(=O)c2ccccn2)c2ccccc21,0.0,0.0,0.0,3.0
